tables,rows,score
1,100,0.001946159964427352
1,111200,0.0018120300024747848
1,222300,0.00139315000269562
1,333400,0.0013750700280070304
1,444500,0.0015814999351277947
1,555600,0.001455759978853166
1,666700,0.0015945999883115291
1,777800,0.00197868999093771
1,888900,0.0019152599852532148
1,1000000,0.0016292499611154198
2,100,0.0015557599952444434
2,111200,0.001578169991262257
2,222300,0.00152026005089283
2,333400,0.001462880033068359
2,444500,0.0014402300119400024
2,555600,0.0015249599935486912
2,666700,0.0018967600539326669
2,777800,0.0020197600126266478
2,888900,0.001712979981675744
2,1000000,0.0016155400313436984
3,100,0.0014258000068366528
3,111200,0.0014496700139716267
3,222300,0.0014843099750578403
3,333400,0.0015633500181138516
3,444500,0.001528009958565235
3,555600,0.0014211399015039206
3,666700,0.0015292600030079484
3,777800,0.0014739299891516565
3,888900,0.001519739953801036
3,1000000,0.0014791300054639578
